Ro2020s021	Ro2020s035	Ro2020s001	Ro2020s003	Ro2020s022	Ro2020s028	Ro2020s012	Ro2020s002	Ro2020s008	Ro2020s026	Ro2020s024	Ro2020s037	Ro2020s016	Ro2020s004	Ro2020s019	Ro2020s029	Ro2020s031	Ro2020s027	Ro2020s009	Ro2020s039	Ro2020s010	Ro2020s030	Ro2020s013	Ro2020s020	Ro2020s007	Ro2020s017	Ro2020s014	Ro2020s023	Ro2020s015	Ro2020s033	Ro2020s025	Ro2020s038	Ro2020s011	Ro2020s018	Ro2020s006	Ro2020s005	Ro2020s036	Ro2020s032	Ro2020s034
6	0	0	0	0	73	2	0	0	48	2	0	2	0	0	26	0	2	0	0	2	0	4	6	3	2	0	0	8	0	2	0	0	5	3	4	0	0	0
8	0	0	0	0	0	15	0	2	0	0	0	0	0	0	13	0	11	15	2	16	0	20	5	0	16	2	0	14	0	0	2	16	0	7	10	0	0	0
0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	2	2	0	0	0	2	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	33	5	0	2	22	0	0	15	0	18	26	0	12	5	27	3	0	4	5	2	2	0	0	0	0	0	39	2	18	6	2	0	0	0
2	0	5	5	5	6	9	2	26	3	0	2	6	0	0	6	85	3	12	3	3	92	16	7	15	6	3	0	5	104	0	5	10	2	0	0	4	72	0
3	0	0	3	0	0	0	2	2	0	5	0	8	2	4	0	0	4	0	0	7	0	0	4	0	0	0	0	0	0	5	0	0	3	10	6	0	0	0
6	0	0	0	0	4	23	0	0	7	0	0	6	0	2	22	0	7	21	0	19	0	34	5	5	26	14	4	18	0	0	3	38	13	8	13	0	0	0
0	0	1	3	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	5	0	2	6	2	0	0	0	0	0	3	0	0	0	0	0	12	0	6	0	4	0	0	5	0	0	5	0	0	0	6	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0
8	0	0	0	0	4	0	0	0	1	3	0	2	0	0	12	0	5	0	0	0	0	0	14	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0
0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	2	0	0	1	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	7	0	0	0	5	6	0	0	0	0	3	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	2	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	9	2	2	0	2	0
0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
0	0	2	0	0	0	2	0	2	2	0	0	4	0	0	0	0	4	4	0	5	0	6	3	3	0	0	0	5	0	0	0	4	0	0	0	0	0	0
