10251.E.B.3.1W	10251.E.LC.3.1W	10251.E.CS.3.1D	10251.E.B.1.3D	10251.E.LC.1.3D	10251.E.CS.1.3W	10251.E.CS.1.2D	10251.E.LC.1.2W	10251.E.B.1.2W	10251.E.CS.2.1W	10251.E.LC.2.1D	10251.E.I.1W	10251.E.B.2.1D	10251.E.B.2.1W	10251.E.I.1D	10251.E.CS.2.1D	10251.E.LC.2.1W	10251.E.B.1.2D	10251.E.CS.1.2W	10251.E.LC.1.2D	10251.E.LC.1.3W	10251.E.CS.1.3D	10251.E.B.1.3W	10251.E.LC.3.1D	10251.E.CS.3.1W	10251.E.B.3.1D	10251.E.B.3.3D	10251.E.LC.3.3D	10251.E.CS.3.2D	10251.E.LC.3.2W	10251.E.B.3.2W	10251.E.I.2W	10251.E.B.2.2D	10251.E.LC.2.2D	10251.E.CS.2.2W	10251.E.CS.2.3D	10251.E.LC.2.3W	10251.E.I.3D	10251.E.B.2.3W	10251.E.B.1.1W	10251.E.LC.1.1W	10251.E.CS.1.1D	10251.E.LC.1.1D	10251.E.CS.1.1W	10251.E.B.1.1D	10251.E.B.2.3D	10251.E.I.3W	10251.E.CS.2.3W	10251.E.LC.2.3D	10251.E.LC.2.2W	10251.E.CS.2.2D	10251.E.B.2.2W	10251.E.I.2D	10251.E.B.3.2D	10251.E.CS.3.2W	10251.E.LC.3.2D	10251.E.LC.3.3W	10251.E.CS.3.3D	10251.E.B.3.3W
0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3
1492	0	3374	0	5	1679	69	0	0	5	0	3153	134	12	117	0	255	0	1287	0	0	19	0	466	0	241	315	0	2135	0	1907	2694	290	0	0	9	220	138	37	0	1	69	0	1482	0	88	1707	0	0	214	0	7	64	216	0	440	0	5575	1898
870	0	0	1641	154	1641	0	0	358	0	52	0	0	0	0	0	28	1379	2055	165	0	0	907	0	0	0	0	0	0	0	1502	0	0	34	0	0	0	0	0	733	0	0	160	1665	862	0	0	0	123	5	0	0	0	0	0	0	0	0	1140
475	0	0	0	0	1538	0	0	282	0	0	520	0	29	0	0	291	0	1004	0	0	0	301	0	0	0	0	1	0	0	335	448	0	13	0	0	184	0	9	326	0	0	0	1344	0	0	369	0	21	225	0	5	13	0	4	0	0	0	303
176	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	469	0	0	0	0	0	4	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
0	0	12	0	3	4	5	2	8	0	3	0	12	2	0	9	0	0	0	8	6	4	13	0	0	0	0	0	0	0	3	7	0	3	0	0	4	41	0	0	0	0	2	0	0	0	0	22	0	0	0	0	53	0	0	0	0	9	0
14	9	116	304	82	31	72	6	29	18	19	27	85	4	69	110	4	31	20	6	27	80	44	3	11	64	210	58	58	7	13	137	24	11	63	97	57	269	20	19	5	152	10	8	33	115	436	64	66	17	23	2	156	29	20	5	11	227	62
0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
3	7	6	1	0	0	0	0	0	0	0	3	0	0	4	0	0	0	4	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	4	6
5	0	8	0	0	0	0	2	5	7	0	0	0	0	0	0	2	5	6	0	0	0	13	0	0	0	0	0	14	0	2	6	21	0	0	3	0	0	0	0	0	0	0	0	0	0	0	22	2	0	0	0	0	4	0	0	2	8	0
8	8	19	6	2	10	17	3	3	4	0	6	182	0	9	0	2	6	0	0	8	16	32	0	0	8	24	12	4	5	2	31	0	0	10	0	0	131	0	0	3	0	7	2	0	0	0	2	0	17	0	0	31	0	10	0	0	18	7
0	0	0	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0	2	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	9	0	0	0	0	0	5	0	0	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0
0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	12547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9196	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	15	0	11	0	2	0	2	0	0	0	0	13	3	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	11	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	17	11	6	0	1	0	3	4	0	0	0	0	0	6	0	0	8	0	7	0	6	0	0	6	5	7	0	0	7	0	0	0	2	4	3	15	0	0	0	12	0	0	0	12	4	5	3	0	4	0	33	0	0	0	0	8	3
